MNEMONICO,IMM_CODE,IMM_BYTES,IMM_CYCLES,DIR_CODE,DIR_BYTES,DIR_CYCLES,"IND,X_CODE","IND,X_BYTES","IND,X_CYCLES","IND,Y_CODE","IND,Y_BYTES","IND,Y_CYCLES",EXT_CODE,EXT_BYTES,EXT_CYCLES,INH_CODE,INH_BYTES,INH_CYCLES,REL_CODE,REL_BYTES,REL_CYCLES,Banderas de estado,,,,,,,
dex,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,9,3,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,-- ,-- 
dey,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,18 09,4,2,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,-- ,-- 
eora,88,2,2,98,3,2,A8,4,2,18 A8,5,3,B8,4,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,0,-- 
eorb,C8,2,2,D8,3,2,E8,4,2,18 E8,5,3,F8,4,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,0,-- 
fdiv,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,3,41,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X
idiv,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,2,41,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,0,X
inc,-- ,-- ,-- ,-- ,-- ,-- ,6C,6,2,18 6C,7,3,7C,6,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,-- 
inca,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,4C,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,-- 
incb,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,5C,2,1,,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,-- 
ins,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,31,3,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
inx,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,8,3,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,-- ,-- 
iny,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,18 08,4,2,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,-- ,-- 
jmp,-- ,-- ,-- ,-- ,-- ,-- ,6E,3,2,18 6E,4,3,7E,3,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
jsr,-- ,-- ,-- ,9D,5,2,AD,6,2,18 AD,7,3,BD,6,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
ldaa,86,2,2,96,3,2,A6,4,2,18 A6,5,3,B6,4,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,0,-- 
ldab,C6,2,2,D6,3,2,E6,4,2,18 E6,5,3,F6,4,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,0,-- 
ldd,CC,3,3,DC,4,2,EC,5,2,18 EC,6,3,FC,5,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,0,-- 
lds,8E,3,3,9E,4,2,AE,5,2,18 AE,6,3,BE,5,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,0,-- 
ldx,CE,3,3,DE,4,2,EE,5,2,CD EE,6,3,FE,5,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,0,-- 
ldy,18 CE,4,4,18 DE,5,3,1A EE,6,3,18 EE,6,3,18 FE,6,4,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,0,-- 
lsl,-- ,-- ,-- ,-- ,-- ,-- ,68,6,2,18 68,7,3,78,6,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
lsla,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,48,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
lslb,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,58,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
lsld,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,5,3,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
lsr,-- ,-- ,-- ,-- ,-- ,-- ,64,6,2,18 64,7,3,74,6,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0,X,X,X
lsra,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,44,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0,X,X,X
lsrb,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,54,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0,X,X,X
lsrd,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,4,3,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0,X,X,X
mul,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,3D,10,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X
neg,-- ,-- ,-- ,-- ,-- ,-- ,60,6,2,18 60,7,3,70,6,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
nega,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,40,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
